operation,strategy,blockSize,fileSizeInBytes,durationInMs
WRITE,BlockByBlockWithoutBufferedStream,3684,104857600,118
WRITE,BlockByBlockWithoutBufferedStream,3996,104857600,132
WRITE,BlockByBlockWithoutBufferedStream,4096,104857600,94
WRITE,BlockByBlockWithoutBufferedStream,4196,104857600,131
WRITE,BlockByBlockWithoutBufferedStream,4508,104857600,133
WRITE,BlockByBlockWithoutBufferedStream,4608,104857600,107
WRITE,BlockByBlockWithoutBufferedStream,4708,104857600,126
WRITE,BlockByBlockWithoutBufferedStream,5020,104857600,132
WRITE,BlockByBlockWithoutBufferedStream,5120,104857600,137
WRITE,BlockByBlockWithoutBufferedStream,5220,104857600,144
WRITE,BlockByBlockWithoutBufferedStream,5532,104857600,133
WRITE,BlockByBlockWithoutBufferedStream,5632,104857600,105
WRITE,BlockByBlockWithoutBufferedStream,5732,104857600,140
WRITE,BlockByBlockWithoutBufferedStream,6044,104857600,118
WRITE,BlockByBlockWithoutBufferedStream,6144,104857600,102
WRITE,BlockByBlockWithoutBufferedStream,6244,104857600,110
WRITE,BlockByBlockWithoutBufferedStream,6556,104857600,106
WRITE,BlockByBlockWithoutBufferedStream,6656,104857600,147
WRITE,BlockByBlockWithoutBufferedStream,6756,104857600,204
WRITE,BlockByBlockWithoutBufferedStream,7068,104857600,191
WRITE,BlockByBlockWithoutBufferedStream,7168,104857600,198
WRITE,BlockByBlockWithoutBufferedStream,7268,104857600,184
WRITE,BlockByBlockWithoutBufferedStream,7580,104857600,192
WRITE,BlockByBlockWithoutBufferedStream,7680,104857600,189
WRITE,BlockByBlockWithoutBufferedStream,7780,104857600,168
WRITE,BlockByBlockWithoutBufferedStream,8092,104857600,178
WRITE,BlockByBlockWithoutBufferedStream,8192,104857600,178
WRITE,BlockByBlockWithoutBufferedStream,8292,104857600,180
READ,ByteByByteWithBufferedStream,0,104857600,281
READ,BlockByBlockWithBufferedStream,1,104857600,933
READ,BlockByBlockWithBufferedStream,2,104857600,693
READ,BlockByBlockWithBufferedStream,3,104857600,469
READ,BlockByBlockWithBufferedStream,4,104857600,317
READ,BlockByBlockWithBufferedStream,5,104857600,272
READ,BlockByBlockWithBufferedStream,10,104857600,156
READ,BlockByBlockWithBufferedStream,20,104857600,97
READ,BlockByBlockWithBufferedStream,50,104857600,56
READ,BlockByBlockWithBufferedStream,100,104857600,42
READ,BlockByBlockWithBufferedStream,200,104857600,36
READ,BlockByBlockWithBufferedStream,256,104857600,32
READ,BlockByBlockWithBufferedStream,500,104857600,32
READ,BlockByBlockWithBufferedStream,512,104857600,28
READ,BlockByBlockWithBufferedStream,924,104857600,30
READ,BlockByBlockWithBufferedStream,1024,104857600,25
READ,BlockByBlockWithBufferedStream,1124,104857600,31
READ,BlockByBlockWithBufferedStream,1436,104857600,32
READ,BlockByBlockWithBufferedStream,1536,104857600,29
READ,BlockByBlockWithBufferedStream,1636,104857600,29
